WKT,id,left,top,right,bottom,GSR_mean
"MULTIPOLYGON (((-4328.0896 6719545.1596,-4278.0896 6719545.1596,-4278.0896 6719495.1596,-4328.0896 6719495.1596,-4328.0896 6719545.1596)))",1,-4328.089600000000246,6719545.159599999897182,-4278.089600000000246,6719495.159599999897182,
"MULTIPOLYGON (((-4328.0896 6719495.1596,-4278.0896 6719495.1596,-4278.0896 6719445.1596,-4328.0896 6719445.1596,-4328.0896 6719495.1596)))",2,-4328.089600000000246,6719495.159599999897182,-4278.089600000000246,6719445.159599999897182,
"MULTIPOLYGON (((-4328.0896 6719445.1596,-4278.0896 6719445.1596,-4278.0896 6719395.1596,-4328.0896 6719395.1596,-4328.0896 6719445.1596)))",3,-4328.089600000000246,6719445.159599999897182,-4278.089600000000246,6719395.159599999897182,
"MULTIPOLYGON (((-4328.0896 6719395.1596,-4278.0896 6719395.1596,-4278.0896 6719345.1596,-4328.0896 6719345.1596,-4328.0896 6719395.1596)))",4,-4328.089600000000246,6719395.159599999897182,-4278.089600000000246,6719345.159599999897182,
"MULTIPOLYGON (((-4328.0896 6719345.1596,-4278.0896 6719345.1596,-4278.0896 6719295.1596,-4328.0896 6719295.1596,-4328.0896 6719345.1596)))",5,-4328.089600000000246,6719345.159599999897182,-4278.089600000000246,6719295.159599999897182,
"MULTIPOLYGON (((-4328.0896 6719295.1596,-4278.0896 6719295.1596,-4278.0896 6719245.1596,-4328.0896 6719245.1596,-4328.0896 6719295.1596)))",6,-4328.089600000000246,6719295.159599999897182,-4278.089600000000246,6719245.159599999897182,
"MULTIPOLYGON (((-4328.0896 6719245.1596,-4278.0896 6719245.1596,-4278.0896 6719195.1596,-4328.0896 6719195.1596,-4328.0896 6719245.1596)))",7,-4328.089600000000246,6719245.159599999897182,-4278.089600000000246,6719195.159599999897182,
"MULTIPOLYGON (((-4328.0896 6719195.1596,-4278.0896 6719195.1596,-4278.0896 6719145.1596,-4328.0896 6719145.1596,-4328.0896 6719195.1596)))",8,-4328.089600000000246,6719195.159599999897182,-4278.089600000000246,6719145.159599998965859,
"MULTIPOLYGON (((-4328.0896 6719145.1596,-4278.0896 6719145.1596,-4278.0896 6719095.1596,-4328.0896 6719095.1596,-4328.0896 6719145.1596)))",9,-4328.089600000000246,6719145.159599998965859,-4278.089600000000246,6719095.159599999897182,
"MULTIPOLYGON (((-4328.0896 6719095.1596,-4278.0896 6719095.1596,-4278.0896 6719045.1596,-4328.0896 6719045.1596,-4328.0896 6719095.1596)))",10,-4328.089600000000246,6719095.159599999897182,-4278.089600000000246,6719045.159599999897182,
"MULTIPOLYGON (((-4328.0896 6719045.1596,-4278.0896 6719045.1596,-4278.0896 6718995.1596,-4328.0896 6718995.1596,-4328.0896 6719045.1596)))",11,-4328.089600000000246,6719045.159599999897182,-4278.089600000000246,6718995.159600000828505,
"MULTIPOLYGON (((-4328.0896 6718995.1596,-4278.0896 6718995.1596,-4278.0896 6718945.1596,-4328.0896 6718945.1596,-4328.0896 6718995.1596)))",12,-4328.089600000000246,6718995.159600000828505,-4278.089600000000246,6718945.159599999897182,
"MULTIPOLYGON (((-4328.0896 6718945.1596,-4278.0896 6718945.1596,-4278.0896 6718895.1596,-4328.0896 6718895.1596,-4328.0896 6718945.1596)))",13,-4328.089600000000246,6718945.159599999897182,-4278.089600000000246,6718895.159599999897182,
"MULTIPOLYGON (((-4328.0896 6718895.1596,-4278.0896 6718895.1596,-4278.0896 6718845.1596,-4328.0896 6718845.1596,-4328.0896 6718895.1596)))",14,-4328.089600000000246,6718895.159599999897182,-4278.089600000000246,6718845.159599999897182,
"MULTIPOLYGON (((-4328.0896 6718845.1596,-4278.0896 6718845.1596,-4278.0896 6718795.1596,-4328.0896 6718795.1596,-4328.0896 6718845.1596)))",15,-4328.089600000000246,6718845.159599999897182,-4278.089600000000246,6718795.159599999897182,
"MULTIPOLYGON (((-4328.0896 6718795.1596,-4278.0896 6718795.1596,-4278.0896 6718745.1596,-4328.0896 6718745.1596,-4328.0896 6718795.1596)))",16,-4328.089600000000246,6718795.159599999897182,-4278.089600000000246,6718745.159599999897182,
"MULTIPOLYGON (((-4328.0896 6718745.1596,-4278.0896 6718745.1596,-4278.0896 6718695.1596,-4328.0896 6718695.1596,-4328.0896 6718745.1596)))",17,-4328.089600000000246,6718745.159599999897182,-4278.089600000000246,6718695.159599999897182,
"MULTIPOLYGON (((-4328.0896 6718695.1596,-4278.0896 6718695.1596,-4278.0896 6718645.1596,-4328.0896 6718645.1596,-4328.0896 6718695.1596)))",18,-4328.089600000000246,6718695.159599999897182,-4278.089600000000246,6718645.159599999897182,
"MULTIPOLYGON (((-4328.0896 6718645.1596,-4278.0896 6718645.1596,-4278.0896 6718595.1596,-4328.0896 6718595.1596,-4328.0896 6718645.1596)))",19,-4328.089600000000246,6718645.159599999897182,-4278.089600000000246,6718595.159599999897182,
"MULTIPOLYGON (((-4328.0896 6718595.1596,-4278.0896 6718595.1596,-4278.0896 6718545.1596,-4328.0896 6718545.1596,-4328.0896 6718595.1596)))",20,-4328.089600000000246,6718595.159599999897182,-4278.089600000000246,6718545.159599999897182,
"MULTIPOLYGON (((-4328.0896 6718545.1596,-4278.0896 6718545.1596,-4278.0896 6718495.1596,-4328.0896 6718495.1596,-4328.0896 6718545.1596)))",21,-4328.089600000000246,6718545.159599999897182,-4278.089600000000246,6718495.159599999897182,
"MULTIPOLYGON (((-4328.0896 6718495.1596,-4278.0896 6718495.1596,-4278.0896 6718445.1596,-4328.0896 6718445.1596,-4328.0896 6718495.1596)))",22,-4328.089600000000246,6718495.159599999897182,-4278.089600000000246,6718445.159599999897182,
"MULTIPOLYGON (((-4328.0896 6718445.1596,-4278.0896 6718445.1596,-4278.0896 6718395.1596,-4328.0896 6718395.1596,-4328.0896 6718445.1596)))",23,-4328.089600000000246,6718445.159599999897182,-4278.089600000000246,6718395.159599999897182,
"MULTIPOLYGON (((-4328.0896 6718395.1596,-4278.0896 6718395.1596,-4278.0896 6718345.1596,-4328.0896 6718345.1596,-4328.0896 6718395.1596)))",24,-4328.089600000000246,6718395.159599999897182,-4278.089600000000246,6718345.159599998965859,
"MULTIPOLYGON (((-4328.0896 6718345.1596,-4278.0896 6718345.1596,-4278.0896 6718295.1596,-4328.0896 6718295.1596,-4328.0896 6718345.1596)))",25,-4328.089600000000246,6718345.159599998965859,-4278.089600000000246,6718295.159599999897182,
"MULTIPOLYGON (((-4328.0896 6718295.1596,-4278.0896 6718295.1596,-4278.0896 6718245.1596,-4328.0896 6718245.1596,-4328.0896 6718295.1596)))",26,-4328.089600000000246,6718295.159599999897182,-4278.089600000000246,6718245.159599999897182,
"MULTIPOLYGON (((-4328.0896 6718245.1596,-4278.0896 6718245.1596,-4278.0896 6718195.1596,-4328.0896 6718195.1596,-4328.0896 6718245.1596)))",27,-4328.089600000000246,6718245.159599999897182,-4278.089600000000246,6718195.159600000828505,
"MULTIPOLYGON (((-4328.0896 6718195.1596,-4278.0896 6718195.1596,-4278.0896 6718145.1596,-4328.0896 6718145.1596,-4328.0896 6718195.1596)))",28,-4328.089600000000246,6718195.159600000828505,-4278.089600000000246,6718145.159599999897182,
"MULTIPOLYGON (((-4328.0896 6718145.1596,-4278.0896 6718145.1596,-4278.0896 6718095.1596,-4328.0896 6718095.1596,-4328.0896 6718145.1596)))",29,-4328.089600000000246,6718145.159599999897182,-4278.089600000000246,6718095.159599999897182,
"MULTIPOLYGON (((-4328.0896 6718095.1596,-4278.0896 6718095.1596,-4278.0896 6718045.1596,-4328.0896 6718045.1596,-4328.0896 6718095.1596)))",30,-4328.089600000000246,6718095.159599999897182,-4278.089600000000246,6718045.159599999897182,
"MULTIPOLYGON (((-4328.0896 6718045.1596,-4278.0896 6718045.1596,-4278.0896 6717995.1596,-4328.0896 6717995.1596,-4328.0896 6718045.1596)))",31,-4328.089600000000246,6718045.159599999897182,-4278.089600000000246,6717995.159599999897182,
"MULTIPOLYGON (((-4328.0896 6717995.1596,-4278.0896 6717995.1596,-4278.0896 6717945.1596,-4328.0896 6717945.1596,-4328.0896 6717995.1596)))",32,-4328.089600000000246,6717995.159599999897182,-4278.089600000000246,6717945.159599999897182,
"MULTIPOLYGON (((-4328.0896 6717945.1596,-4278.0896 6717945.1596,-4278.0896 6717895.1596,-4328.0896 6717895.1596,-4328.0896 6717945.1596)))",33,-4328.089600000000246,6717945.159599999897182,-4278.089600000000246,6717895.159599999897182,
"MULTIPOLYGON (((-4328.0896 6717895.1596,-4278.0896 6717895.1596,-4278.0896 6717845.1596,-4328.0896 6717845.1596,-4328.0896 6717895.1596)))",34,-4328.089600000000246,6717895.159599999897182,-4278.089600000000246,6717845.159599999897182,
"MULTIPOLYGON (((-4328.0896 6717845.1596,-4278.0896 6717845.1596,-4278.0896 6717795.1596,-4328.0896 6717795.1596,-4328.0896 6717845.1596)))",35,-4328.089600000000246,6717845.159599999897182,-4278.089600000000246,6717795.159599999897182,
"MULTIPOLYGON (((-4328.0896 6717795.1596,-4278.0896 6717795.1596,-4278.0896 6717745.1596,-4328.0896 6717745.1596,-4328.0896 6717795.1596)))",36,-4328.089600000000246,6717795.159599999897182,-4278.089600000000246,6717745.159599999897182,
"MULTIPOLYGON (((-4328.0896 6717745.1596,-4278.0896 6717745.1596,-4278.0896 6717695.1596,-4328.0896 6717695.1596,-4328.0896 6717745.1596)))",37,-4328.089600000000246,6717745.159599999897182,-4278.089600000000246,6717695.159599999897182,
"MULTIPOLYGON (((-4328.0896 6717695.1596,-4278.0896 6717695.1596,-4278.0896 6717645.1596,-4328.0896 6717645.1596,-4328.0896 6717695.1596)))",38,-4328.089600000000246,6717695.159599999897182,-4278.089600000000246,6717645.159599999897182,
"MULTIPOLYGON (((-4328.0896 6717645.1596,-4278.0896 6717645.1596,-4278.0896 6717595.1596,-4328.0896 6717595.1596,-4328.0896 6717645.1596)))",39,-4328.089600000000246,6717645.159599999897182,-4278.089600000000246,6717595.159599999897182,
"MULTIPOLYGON (((-4328.0896 6717595.1596,-4278.0896 6717595.1596,-4278.0896 6717545.1596,-4328.0896 6717545.1596,-4328.0896 6717595.1596)))",40,-4328.089600000000246,6717595.159599999897182,-4278.089600000000246,6717545.159599998965859,
"MULTIPOLYGON (((-4328.0896 6717545.1596,-4278.0896 6717545.1596,-4278.0896 6717495.1596,-4328.0896 6717495.1596,-4328.0896 6717545.1596)))",41,-4328.089600000000246,6717545.159599998965859,-4278.089600000000246,6717495.159599999897182,
"MULTIPOLYGON (((-4328.0896 6717495.1596,-4278.0896 6717495.1596,-4278.0896 6717445.1596,-4328.0896 6717445.1596,-4328.0896 6717495.1596)))",42,-4328.089600000000246,6717495.159599999897182,-4278.089600000000246,6717445.159599999897182,
"MULTIPOLYGON (((-4328.0896 6717445.1596,-4278.0896 6717445.1596,-4278.0896 6717395.1596,-4328.0896 6717395.1596,-4328.0896 6717445.1596)))",43,-4328.089600000000246,6717445.159599999897182,-4278.089600000000246,6717395.159600000828505,
"MULTIPOLYGON (((-4328.0896 6717395.1596,-4278.0896 6717395.1596,-4278.0896 6717345.1596,-4328.0896 6717345.1596,-4328.0896 6717395.1596)))",44,-4328.089600000000246,6717395.159600000828505,-4278.089600000000246,6717345.159599999897182,
"MULTIPOLYGON (((-4328.0896 6717345.1596,-4278.0896 6717345.1596,-4278.0896 6717295.1596,-4328.0896 6717295.1596,-4328.0896 6717345.1596)))",45,-4328.089600000000246,6717345.159599999897182,-4278.089600000000246,6717295.159599999897182,
"MULTIPOLYGON (((-4328.0896 6717295.1596,-4278.0896 6717295.1596,-4278.0896 6717245.1596,-4328.0896 6717245.1596,-4328.0896 6717295.1596)))",46,-4328.089600000000246,6717295.159599999897182,-4278.089600000000246,6717245.159599999897182,
"MULTIPOLYGON (((-4328.0896 6717245.1596,-4278.0896 6717245.1596,-4278.0896 6717195.1596,-4328.0896 6717195.1596,-4328.0896 6717245.1596)))",47,-4328.089600000000246,6717245.159599999897182,-4278.089600000000246,6717195.159599999897182,
"MULTIPOLYGON (((-4328.0896 6717195.1596,-4278.0896 6717195.1596,-4278.0896 6717145.1596,-4328.0896 6717145.1596,-4328.0896 6717195.1596)))",48,-4328.089600000000246,6717195.159599999897182,-4278.089600000000246,6717145.159599999897182,
"MULTIPOLYGON (((-4278.0896 6719545.1596,-4228.0896 6719545.1596,-4228.0896 6719495.1596,-4278.0896 6719495.1596,-4278.0896 6719545.1596)))",49,-4278.089600000000246,6719545.159599999897182,-4228.089600000000246,6719495.159599999897182,
"MULTIPOLYGON (((-4278.0896 6719495.1596,-4228.0896 6719495.1596,-4228.0896 6719445.1596,-4278.0896 6719445.1596,-4278.0896 6719495.1596)))",50,-4278.089600000000246,6719495.159599999897182,-4228.089600000000246,6719445.159599999897182,
"MULTIPOLYGON (((-4278.0896 6719445.1596,-4228.0896 6719445.1596,-4228.0896 6719395.1596,-4278.0896 6719395.1596,-4278.0896 6719445.1596)))",51,-4278.089600000000246,6719445.159599999897182,-4228.089600000000246,6719395.159599999897182,
"MULTIPOLYGON (((-4278.0896 6719395.1596,-4228.0896 6719395.1596,-4228.0896 6719345.1596,-4278.0896 6719345.1596,-4278.0896 6719395.1596)))",52,-4278.089600000000246,6719395.159599999897182,-4228.089600000000246,6719345.159599999897182,
"MULTIPOLYGON (((-4278.0896 6719345.1596,-4228.0896 6719345.1596,-4228.0896 6719295.1596,-4278.0896 6719295.1596,-4278.0896 6719345.1596)))",53,-4278.089600000000246,6719345.159599999897182,-4228.089600000000246,6719295.159599999897182,
"MULTIPOLYGON (((-4278.0896 6719295.1596,-4228.0896 6719295.1596,-4228.0896 6719245.1596,-4278.0896 6719245.1596,-4278.0896 6719295.1596)))",54,-4278.089600000000246,6719295.159599999897182,-4228.089600000000246,6719245.159599999897182,
"MULTIPOLYGON (((-4278.0896 6719245.1596,-4228.0896 6719245.1596,-4228.0896 6719195.1596,-4278.0896 6719195.1596,-4278.0896 6719245.1596)))",55,-4278.089600000000246,6719245.159599999897182,-4228.089600000000246,6719195.159599999897182,
"MULTIPOLYGON (((-4278.0896 6719195.1596,-4228.0896 6719195.1596,-4228.0896 6719145.1596,-4278.0896 6719145.1596,-4278.0896 6719195.1596)))",56,-4278.089600000000246,6719195.159599999897182,-4228.089600000000246,6719145.159599998965859,
"MULTIPOLYGON (((-4278.0896 6719145.1596,-4228.0896 6719145.1596,-4228.0896 6719095.1596,-4278.0896 6719095.1596,-4278.0896 6719145.1596)))",57,-4278.089600000000246,6719145.159599998965859,-4228.089600000000246,6719095.159599999897182,
"MULTIPOLYGON (((-4278.0896 6719095.1596,-4228.0896 6719095.1596,-4228.0896 6719045.1596,-4278.0896 6719045.1596,-4278.0896 6719095.1596)))",58,-4278.089600000000246,6719095.159599999897182,-4228.089600000000246,6719045.159599999897182,
"MULTIPOLYGON (((-4278.0896 6719045.1596,-4228.0896 6719045.1596,-4228.0896 6718995.1596,-4278.0896 6718995.1596,-4278.0896 6719045.1596)))",59,-4278.089600000000246,6719045.159599999897182,-4228.089600000000246,6718995.159600000828505,
"MULTIPOLYGON (((-4278.0896 6718995.1596,-4228.0896 6718995.1596,-4228.0896 6718945.1596,-4278.0896 6718945.1596,-4278.0896 6718995.1596)))",60,-4278.089600000000246,6718995.159600000828505,-4228.089600000000246,6718945.159599999897182,
"MULTIPOLYGON (((-4278.0896 6718945.1596,-4228.0896 6718945.1596,-4228.0896 6718895.1596,-4278.0896 6718895.1596,-4278.0896 6718945.1596)))",61,-4278.089600000000246,6718945.159599999897182,-4228.089600000000246,6718895.159599999897182,
"MULTIPOLYGON (((-4278.0896 6718895.1596,-4228.0896 6718895.1596,-4228.0896 6718845.1596,-4278.0896 6718845.1596,-4278.0896 6718895.1596)))",62,-4278.089600000000246,6718895.159599999897182,-4228.089600000000246,6718845.159599999897182,
"MULTIPOLYGON (((-4278.0896 6718845.1596,-4228.0896 6718845.1596,-4228.0896 6718795.1596,-4278.0896 6718795.1596,-4278.0896 6718845.1596)))",63,-4278.089600000000246,6718845.159599999897182,-4228.089600000000246,6718795.159599999897182,
"MULTIPOLYGON (((-4278.0896 6718795.1596,-4228.0896 6718795.1596,-4228.0896 6718745.1596,-4278.0896 6718745.1596,-4278.0896 6718795.1596)))",64,-4278.089600000000246,6718795.159599999897182,-4228.089600000000246,6718745.159599999897182,
"MULTIPOLYGON (((-4278.0896 6718745.1596,-4228.0896 6718745.1596,-4228.0896 6718695.1596,-4278.0896 6718695.1596,-4278.0896 6718745.1596)))",65,-4278.089600000000246,6718745.159599999897182,-4228.089600000000246,6718695.159599999897182,
"MULTIPOLYGON (((-4278.0896 6718695.1596,-4228.0896 6718695.1596,-4228.0896 6718645.1596,-4278.0896 6718645.1596,-4278.0896 6718695.1596)))",66,-4278.089600000000246,6718695.159599999897182,-4228.089600000000246,6718645.159599999897182,
"MULTIPOLYGON (((-4278.0896 6718645.1596,-4228.0896 6718645.1596,-4228.0896 6718595.1596,-4278.0896 6718595.1596,-4278.0896 6718645.1596)))",67,-4278.089600000000246,6718645.159599999897182,-4228.089600000000246,6718595.159599999897182,
"MULTIPOLYGON (((-4278.0896 6718595.1596,-4228.0896 6718595.1596,-4228.0896 6718545.1596,-4278.0896 6718545.1596,-4278.0896 6718595.1596)))",68,-4278.089600000000246,6718595.159599999897182,-4228.089600000000246,6718545.159599999897182,
"MULTIPOLYGON (((-4278.0896 6718545.1596,-4228.0896 6718545.1596,-4228.0896 6718495.1596,-4278.0896 6718495.1596,-4278.0896 6718545.1596)))",69,-4278.089600000000246,6718545.159599999897182,-4228.089600000000246,6718495.159599999897182,
"MULTIPOLYGON (((-4278.0896 6718495.1596,-4228.0896 6718495.1596,-4228.0896 6718445.1596,-4278.0896 6718445.1596,-4278.0896 6718495.1596)))",70,-4278.089600000000246,6718495.159599999897182,-4228.089600000000246,6718445.159599999897182,
"MULTIPOLYGON (((-4278.0896 6718445.1596,-4228.0896 6718445.1596,-4228.0896 6718395.1596,-4278.0896 6718395.1596,-4278.0896 6718445.1596)))",71,-4278.089600000000246,6718445.159599999897182,-4228.089600000000246,6718395.159599999897182,
"MULTIPOLYGON (((-4278.0896 6718395.1596,-4228.0896 6718395.1596,-4228.0896 6718345.1596,-4278.0896 6718345.1596,-4278.0896 6718395.1596)))",72,-4278.089600000000246,6718395.159599999897182,-4228.089600000000246,6718345.159599998965859,
"MULTIPOLYGON (((-4278.0896 6718345.1596,-4228.0896 6718345.1596,-4228.0896 6718295.1596,-4278.0896 6718295.1596,-4278.0896 6718345.1596)))",73,-4278.089600000000246,6718345.159599998965859,-4228.089600000000246,6718295.159599999897182,
"MULTIPOLYGON (((-4278.0896 6718295.1596,-4228.0896 6718295.1596,-4228.0896 6718245.1596,-4278.0896 6718245.1596,-4278.0896 6718295.1596)))",74,-4278.089600000000246,6718295.159599999897182,-4228.089600000000246,6718245.159599999897182,
"MULTIPOLYGON (((-4278.0896 6718245.1596,-4228.0896 6718245.1596,-4228.0896 6718195.1596,-4278.0896 6718195.1596,-4278.0896 6718245.1596)))",75,-4278.089600000000246,6718245.159599999897182,-4228.089600000000246,6718195.159600000828505,
"MULTIPOLYGON (((-4278.0896 6718195.1596,-4228.0896 6718195.1596,-4228.0896 6718145.1596,-4278.0896 6718145.1596,-4278.0896 6718195.1596)))",76,-4278.089600000000246,6718195.159600000828505,-4228.089600000000246,6718145.159599999897182,
"MULTIPOLYGON (((-4278.0896 6718145.1596,-4228.0896 6718145.1596,-4228.0896 6718095.1596,-4278.0896 6718095.1596,-4278.0896 6718145.1596)))",77,-4278.089600000000246,6718145.159599999897182,-4228.089600000000246,6718095.159599999897182,
"MULTIPOLYGON (((-4278.0896 6718095.1596,-4228.0896 6718095.1596,-4228.0896 6718045.1596,-4278.0896 6718045.1596,-4278.0896 6718095.1596)))",78,-4278.089600000000246,6718095.159599999897182,-4228.089600000000246,6718045.159599999897182,
"MULTIPOLYGON (((-4278.0896 6718045.1596,-4228.0896 6718045.1596,-4228.0896 6717995.1596,-4278.0896 6717995.1596,-4278.0896 6718045.1596)))",79,-4278.089600000000246,6718045.159599999897182,-4228.089600000000246,6717995.159599999897182,
"MULTIPOLYGON (((-4278.0896 6717995.1596,-4228.0896 6717995.1596,-4228.0896 6717945.1596,-4278.0896 6717945.1596,-4278.0896 6717995.1596)))",80,-4278.089600000000246,6717995.159599999897182,-4228.089600000000246,6717945.159599999897182,
"MULTIPOLYGON (((-4278.0896 6717945.1596,-4228.0896 6717945.1596,-4228.0896 6717895.1596,-4278.0896 6717895.1596,-4278.0896 6717945.1596)))",81,-4278.089600000000246,6717945.159599999897182,-4228.089600000000246,6717895.159599999897182,
"MULTIPOLYGON (((-4278.0896 6717895.1596,-4228.0896 6717895.1596,-4228.0896 6717845.1596,-4278.0896 6717845.1596,-4278.0896 6717895.1596)))",82,-4278.089600000000246,6717895.159599999897182,-4228.089600000000246,6717845.159599999897182,
"MULTIPOLYGON (((-4278.0896 6717845.1596,-4228.0896 6717845.1596,-4228.0896 6717795.1596,-4278.0896 6717795.1596,-4278.0896 6717845.1596)))",83,-4278.089600000000246,6717845.159599999897182,-4228.089600000000246,6717795.159599999897182,
"MULTIPOLYGON (((-4278.0896 6717795.1596,-4228.0896 6717795.1596,-4228.0896 6717745.1596,-4278.0896 6717745.1596,-4278.0896 6717795.1596)))",84,-4278.089600000000246,6717795.159599999897182,-4228.089600000000246,6717745.159599999897182,
"MULTIPOLYGON (((-4278.0896 6717745.1596,-4228.0896 6717745.1596,-4228.0896 6717695.1596,-4278.0896 6717695.1596,-4278.0896 6717745.1596)))",85,-4278.089600000000246,6717745.159599999897182,-4228.089600000000246,6717695.159599999897182,
"MULTIPOLYGON (((-4278.0896 6717695.1596,-4228.0896 6717695.1596,-4228.0896 6717645.1596,-4278.0896 6717645.1596,-4278.0896 6717695.1596)))",86,-4278.089600000000246,6717695.159599999897182,-4228.089600000000246,6717645.159599999897182,
"MULTIPOLYGON (((-4278.0896 6717645.1596,-4228.0896 6717645.1596,-4228.0896 6717595.1596,-4278.0896 6717595.1596,-4278.0896 6717645.1596)))",87,-4278.089600000000246,6717645.159599999897182,-4228.089600000000246,6717595.159599999897182,
"MULTIPOLYGON (((-4278.0896 6717595.1596,-4228.0896 6717595.1596,-4228.0896 6717545.1596,-4278.0896 6717545.1596,-4278.0896 6717595.1596)))",88,-4278.089600000000246,6717595.159599999897182,-4228.089600000000246,6717545.159599998965859,
"MULTIPOLYGON (((-4278.0896 6717545.1596,-4228.0896 6717545.1596,-4228.0896 6717495.1596,-4278.0896 6717495.1596,-4278.0896 6717545.1596)))",89,-4278.089600000000246,6717545.159599998965859,-4228.089600000000246,6717495.159599999897182,
"MULTIPOLYGON (((-4278.0896 6717495.1596,-4228.0896 6717495.1596,-4228.0896 6717445.1596,-4278.0896 6717445.1596,-4278.0896 6717495.1596)))",90,-4278.089600000000246,6717495.159599999897182,-4228.089600000000246,6717445.159599999897182,
"MULTIPOLYGON (((-4278.0896 6717445.1596,-4228.0896 6717445.1596,-4228.0896 6717395.1596,-4278.0896 6717395.1596,-4278.0896 6717445.1596)))",91,-4278.089600000000246,6717445.159599999897182,-4228.089600000000246,6717395.159600000828505,
"MULTIPOLYGON (((-4278.0896 6717395.1596,-4228.0896 6717395.1596,-4228.0896 6717345.1596,-4278.0896 6717345.1596,-4278.0896 6717395.1596)))",92,-4278.089600000000246,6717395.159600000828505,-4228.089600000000246,6717345.159599999897182,
"MULTIPOLYGON (((-4278.0896 6717345.1596,-4228.0896 6717345.1596,-4228.0896 6717295.1596,-4278.0896 6717295.1596,-4278.0896 6717345.1596)))",93,-4278.089600000000246,6717345.159599999897182,-4228.089600000000246,6717295.159599999897182,
"MULTIPOLYGON (((-4278.0896 6717295.1596,-4228.0896 6717295.1596,-4228.0896 6717245.1596,-4278.0896 6717245.1596,-4278.0896 6717295.1596)))",94,-4278.089600000000246,6717295.159599999897182,-4228.089600000000246,6717245.159599999897182,
"MULTIPOLYGON (((-4278.0896 6717245.1596,-4228.0896 6717245.1596,-4228.0896 6717195.1596,-4278.0896 6717195.1596,-4278.0896 6717245.1596)))",95,-4278.089600000000246,6717245.159599999897182,-4228.089600000000246,6717195.159599999897182,
"MULTIPOLYGON (((-4278.0896 6717195.1596,-4228.0896 6717195.1596,-4228.0896 6717145.1596,-4278.0896 6717145.1596,-4278.0896 6717195.1596)))",96,-4278.089600000000246,6717195.159599999897182,-4228.089600000000246,6717145.159599999897182,
"MULTIPOLYGON (((-4228.0896 6719545.1596,-4178.0896 6719545.1596,-4178.0896 6719495.1596,-4228.0896 6719495.1596,-4228.0896 6719545.1596)))",97,-4228.089600000000246,6719545.159599999897182,-4178.089600000000246,6719495.159599999897182,
"MULTIPOLYGON (((-4228.0896 6719495.1596,-4178.0896 6719495.1596,-4178.0896 6719445.1596,-4228.0896 6719445.1596,-4228.0896 6719495.1596)))",98,-4228.089600000000246,6719495.159599999897182,-4178.089600000000246,6719445.159599999897182,
"MULTIPOLYGON (((-4228.0896 6719445.1596,-4178.0896 6719445.1596,-4178.0896 6719395.1596,-4228.0896 6719395.1596,-4228.0896 6719445.1596)))",99,-4228.089600000000246,6719445.159599999897182,-4178.089600000000246,6719395.159599999897182,
"MULTIPOLYGON (((-4228.0896 6719395.1596,-4178.0896 6719395.1596,-4178.0896 6719345.1596,-4228.0896 6719345.1596,-4228.0896 6719395.1596)))",100,-4228.089600000000246,6719395.159599999897182,-4178.089600000000246,6719345.159599999897182,
"MULTIPOLYGON (((-4228.0896 6719345.1596,-4178.0896 6719345.1596,-4178.0896 6719295.1596,-4228.0896 6719295.1596,-4228.0896 6719345.1596)))",101,-4228.089600000000246,6719345.159599999897182,-4178.089600000000246,6719295.159599999897182,
"MULTIPOLYGON (((-4228.0896 6719295.1596,-4178.0896 6719295.1596,-4178.0896 6719245.1596,-4228.0896 6719245.1596,-4228.0896 6719295.1596)))",102,-4228.089600000000246,6719295.159599999897182,-4178.089600000000246,6719245.159599999897182,
"MULTIPOLYGON (((-4228.0896 6719245.1596,-4178.0896 6719245.1596,-4178.0896 6719195.1596,-4228.0896 6719195.1596,-4228.0896 6719245.1596)))",103,-4228.089600000000246,6719245.159599999897182,-4178.089600000000246,6719195.159599999897182,
"MULTIPOLYGON (((-4228.0896 6719195.1596,-4178.0896 6719195.1596,-4178.0896 6719145.1596,-4228.0896 6719145.1596,-4228.0896 6719195.1596)))",104,-4228.089600000000246,6719195.159599999897182,-4178.089600000000246,6719145.159599998965859,
"MULTIPOLYGON (((-4228.0896 6719145.1596,-4178.0896 6719145.1596,-4178.0896 6719095.1596,-4228.0896 6719095.1596,-4228.0896 6719145.1596)))",105,-4228.089600000000246,6719145.159599998965859,-4178.089600000000246,6719095.159599999897182,
"MULTIPOLYGON (((-4228.0896 6719095.1596,-4178.0896 6719095.1596,-4178.0896 6719045.1596,-4228.0896 6719045.1596,-4228.0896 6719095.1596)))",106,-4228.089600000000246,6719095.159599999897182,-4178.089600000000246,6719045.159599999897182,
"MULTIPOLYGON (((-4228.0896 6719045.1596,-4178.0896 6719045.1596,-4178.0896 6718995.1596,-4228.0896 6718995.1596,-4228.0896 6719045.1596)))",107,-4228.089600000000246,6719045.159599999897182,-4178.089600000000246,6718995.159600000828505,
"MULTIPOLYGON (((-4228.0896 6718995.1596,-4178.0896 6718995.1596,-4178.0896 6718945.1596,-4228.0896 6718945.1596,-4228.0896 6718995.1596)))",108,-4228.089600000000246,6718995.159600000828505,-4178.089600000000246,6718945.159599999897182,
"MULTIPOLYGON (((-4228.0896 6718945.1596,-4178.0896 6718945.1596,-4178.0896 6718895.1596,-4228.0896 6718895.1596,-4228.0896 6718945.1596)))",109,-4228.089600000000246,6718945.159599999897182,-4178.089600000000246,6718895.159599999897182,
