X,Y,Count,Date,Time,Lat,Long,Speed,Altitude,GSR
-2556.56342555832,6718188.43912077,"4785",2/6/2018,15:34:15,51.544544,-0.022966,1.22,12.5,"324"
-2556.56342555832,6718188.43912077,"4786",2/6/2018,15:34:15,51.544544,-0.022966,1.22,12.5,"327"
-2556.56342555832,6718187.18613985,"4787",2/6/2018,15:34:16,51.544537,-0.022966,0.63,12.5,"322"
-2556.56342555832,6718187.18613985,"4788",2/6/2018,15:34:16,51.544537,-0.022966,0.63,13.7,"328"
-2556.67474504911,6718187.18613985,"4789",2/6/2018,15:34:17,51.544537,-0.022967,0.5,13.7,"317"
-2556.67474504911,6718187.18613985,"4790",2/6/2018,15:34:17,51.544537,-0.022967,0.5,14.1,"323"
-2557.12002301229,6718186.47015084,"4791",2/6/2018,15:34:18,51.544533,-0.022971,0.33,14.1,"316"
-2557.12002301229,6718186.47015084,"4792",2/6/2018,15:34:18,51.544533,-0.022971,0.33,14.7,"324"
-2556.00682810435,6718186.47015084,"4793",2/6/2018,15:34:19,51.544533,-0.022961,1.48,14.7,"320"
-2556.00682810435,6718186.47015084,"4794",2/6/2018,15:34:19,51.544533,-0.022961,1.48,14.6,"329"
-2554.78231370563,6718186.47015084,"4795",2/6/2018,15:34:20,51.544533,-0.02295,2.85,14.6,"320"
-2554.78231370563,6718186.47015084,"4796",2/6/2018,15:34:20,51.544533,-0.02295,2.85,14.2,"330"
-2553.89175777928,6718186.47015084,"4797",2/6/2018,15:34:21,51.544533,-0.022942,2.13,14.2,"322"
-2553.00120185294,6718185.75416189,"4798",2/6/2018,15:34:22,51.544529,-0.022934,2.52,14.2,"319"
-2553.00120185294,6718185.75416189,"4799",2/6/2018,15:34:22,51.544529,-0.022934,2.52,13.3,"330"
-2551.888006945,6718185.75416189,"4800",2/6/2018,15:34:23,51.544529,-0.022924,2.87,13.3,"322"
-2551.888006945,6718185.75416189,"4801",2/6/2018,15:34:23,51.544529,-0.022924,2.87,12.7,"333"
-2550.77481203707,6718185.75416189,"4802",2/6/2018,15:34:24,51.544529,-0.022914,3.15,12.7,"326"
-2549.66161712914,6718184.32218418,"4803",2/6/2018,15:34:25,51.544521,-0.022904,3.46,12.7,"326"
-2549.66161712914,6718184.32218418,"4804",2/6/2018,15:34:25,51.544521,-0.022904,3.46,13.3,"332"
-2548.21446374883,6718185.75416189,"4805",2/6/2018,15:34:26,51.544529,-0.022891,3.28,13.3,"324"
-2546.65599087772,6718185.75416189,"4806",2/6/2018,15:34:27,51.544529,-0.022877,2.2,13.3,"325"
-2546.65599087772,6718185.75416189,"4807",2/6/2018,15:34:27,51.544529,-0.022877,2.2,14,"331"
-2544.65224004344,6718186.47015084,"4808",2/6/2018,15:34:28,51.544533,-0.022859,2.89,14,"324"
-2544.65224004344,6718186.47015084,"4809",2/6/2018,15:34:28,51.544533,-0.022859,2.89,15,"331"
-2543.42772564471,6718187.18613985,"4810",2/6/2018,15:34:29,51.544537,-0.022848,1.81,15,"326"
-2542.20321124599,6718188.43912077,"4811",2/6/2018,15:34:30,51.544544,-0.022837,2.07,15,"326"
