index 	 lat 	 long 	 speed 	 date 	 time 	 air_val 	 dust 	 gsr
98	51.524793	-0.132013	3.79	180124	18503000	22	0.62	274
99	51.524817	-0.131985	3.06	180124	18503100	22	0.62	276
100	51.524842	-0.131948	4.91	180124	18503200	22	0.62	280
101	51.524873	-0.13194	5.88	180124	18503300	22	0.62	281
102	51.524908	-0.131933	8.29	180124	18503400	22	0.62	282
103	51.524918	-0.131877	6.02	180124	18503500	22	0.62	281
104	51.52492	-0.131855	3.26	180124	18503600	22	0.62	280
105	51.524913	-0.131775	3.26	180124	18503800	22	0.62	278
106	51.524912	-0.131753	3.26	180124	18503900	22	0.62	285
107	51.524908	-0.131728	2.41	180124	18504000	22	0.62	271
108	51.524905	-0.13171	2.41	180124	18504100	21	0.62	268
109	51.524912	-0.131698	3.43	180124	18504200	21	0.62	268
110	51.524913	-0.131702	2.52	180124	18504300	21	0.62	270
111	51.524912	-0.131693	1.63	180124	18504400	21	0.62	274
112	51.524908	-0.131678	2.29	180124	18504500	22	0.62	276
113	51.524908	-0.131658	2.88	180124	18504600	22	0.62	280
114	51.524903	-0.131633	2.75	180124	18504700	22	0.62	278
115	51.5249	-0.131603	2.64	180124	18504800	22	0.62	274
116	51.524898	-0.13158	3.21	180124	18504900	22	0.62	268
117	51.524902	-0.131523	3.21	180124	18505100	21	0.62	268
118	51.524905	-0.131493	4.32	180124	18505200	21	0.62	271
119	51.52491	-0.13147	3.9	180124	18505300	22	0.62	277
120	51.52491	-0.13145	3.92	180124	18505400	22	0.62	272
121	51.524912	-0.131428	2.74	180124	18505500	22	0.62	278
122	51.524915	-0.131405	2.98	180124	18505600	22	0.62	275
123	51.524918	-0.131385	3.67	180124	18505700	22	0.62	275
124	51.52492	-0.131363	3.38	180124	18505800	22	0.62	277
125	51.52492	-0.131348	3.77	180124	18505900	22	0.62	279
126	51.524927	-0.13133	2.81	180124	18510000	22	0.62	281
127	51.524933	-0.131317	3.29	180124	18510100	22	0.62	278
128	51.524942	-0.131285	2.92	180124	18510300	22	0.62	278
129	51.524943	-0.131267	2.92	180124	18510400	22	0.62	275
130	51.524947	-0.131248	2.7	180124	18510500	22	0.62	282
131	51.524953	-0.131232	2.8	180124	18510600	22	0.62	280
132	51.524963	-0.131215	3.3	180124	18510700	22	0.62	281
133	51.524968	-0.131188	4.56	180124	18510800	22	0.62	285
134	51.524972	-0.131163	5.22	180124	18510900	23	0.62	284
135	51.524973	-0.131138	4.06	180124	18511000	22	0.62	287
136	51.52498	-0.131125	3.84	180124	18511100	22	0.62	293
137	51.524985	-0.131108	3.73	180124	18511200	22	0.62	290
138	51.524992	-0.131093	3.38	180124	18511300	22	0.62	282
139	51.525002	-0.131078	3.71	180124	18511400	22	0.62	279
140	51.52501	-0.131052	3.71	180124	18511600	22	0.62	279
141	51.525015	-0.13104	1.67	180124	18511700	22	0.62	280
142	51.52502	-0.131035	1.67	180124	18511800	22	0.62	279
143	51.525023	-0.131027	1.67	180124	18511900	22	0.62	278
144	51.52503	-0.131027	1.68	180124	18512000	22	0.62	279
145	51.525038	-0.131023	2.05	180124	18512100	22	0.62	286
146	51.525053	-0.131033	2.53	180124	18512200	22	0.62	281
147	51.525067	-0.131043	3.76	180124	18512300	22	0.62	285
148	51.525082	-0.13107	4.15	180124	18512400	22	0.62	287
149	51.525092	-0.13109	5.64	180124	18512500	22	0.62	287
150	51.525115	-0.131103	5.92	180124	18512600	22	0.62	289
151	51.525122	-0.131135	6.96	180124	18512700	22	0.62	291
152	51.525133	-0.131183	6.96	180124	18512900	22	0.62	288
153	51.525142	-0.131195	6.96	180124	18513000	22	0.62	286
154	51.525142	-0.131213	6.96	180124	18513100	23	0.62	286
155	51.525138	-0.131203	4.53	180124	18513200	22	0.62	291
156	51.525143	-0.131213	3.75	180124	18513300	22	0.62	288
157	51.525152	-0.13121	2.82	180124	18513400	22	0.62	291
158	51.52516	-0.131215	2.16	180124	18513500	22	0.62	294
159	51.525157	-0.13123	1.96	180124	18513600	22	0.62	293
160	51.525155	-0.131233	1.08	180124	18513700	23	0.62	295
161	51.525155	-0.131233	0.0	180124	18513800	23	0.62	295
162	51.525152	-0.131223	0.0	180124	18513900	22	0.62	292
163	51.525153	-0.13122	2.76	180124	18514100	22	0.62	291
164	51.525157	-0.131215	2.76	180124	18514200	22	0.62	291
165	51.52517	-0.131198	2.83	180124	18514300	23	0.62	294
166	51.525177	-0.13119	2.83	180124	18514400	22	0.62	292
167	51.525182	-0.131178	3.11	180124	18514500	22	0.62	297
168	51.52519	-0.131183	3.31	180124	18514600	23	0.62	298
169	51.525197	-0.131178	2.78	180124	18514700	23	0.62	298
170	51.525205	-0.131177	2.36	180124	18514800	23	0.62	301
171	51.525212	-0.131182	1.97	180124	18514900	23	0.62	302
172	51.52522	-0.13119	1.42	180124	18515000	23	0.62	297
173	51.525242	-0.13119	1.46	180124	18515100	23	0.62	293
174	51.52526	-0.131208	3.83	180124	18515200	23	0.62	291
175	51.525298	-0.131262	3.83	180124	18515400	22	0.62	290
176	51.525315	-0.131268	3.83	180124	18515500	22	0.62	291
177	51.525332	-0.131288	3.75	180124	18515600	22	0.62	292
178	51.525352	-0.131292	3.04	180124	18515700	22	0.62	287
179	51.525365	-0.131273	3.14	180124	18515800	22	0.62	282
180	51.525377	-0.131248	4.0	180124	18515900	22	0.62	283
181	51.525392	-0.131248	5.05	180124	18520000	22	0.62	283
182	51.525402	-0.131248	5.21	180124	18520100	22	0.62	281
183	51.525408	-0.13125	4.8	180124	18520200	22	0.62	281
184	51.525415	-0.131257	3.84	180124	18520300	22	0.62	281
185	51.525423	-0.131265	1.71	180124	18520400	22	0.62	285
186	51.525433	-0.131277	1.71	180124	18520600	22	0.62	287
187	51.525435	-0.131268	1.71	180124	18520700	22	0.62	288
188	51.525435	-0.131263	1.71	180124	18520800	22	0.62	290
189	51.525433	-0.131283	1.53	180124	18520900	22	0.62	291
190	51.525435	-0.131292	0.0	180124	18521000	22	0.62	294
191	51.525438	-0.131288	0.0	180124	18521100	22	0.62	296
192	51.525438	-0.131288	0.0	180124	18521200	22	0.62	290
193	51.525438	-0.131288	0.0	180124	18521300	22	0.62	288
194	51.525438	-0.131288	0.0	180124	18521400	22	0.62	287
195	51.525478	-0.131273	0.0	180124	18521500	22	0.62	289
196	51.525485	-0.131273	1.82	180124	18521600	23	0.62	286
197	51.525492	-0.131278	0.0	180124	18521700	22	0.62	283
198	51.525508	-0.131303	0.0	180124	18521900	22	0.62	286
199	51.525518	-0.131308	0.0	180124	18522000	22	0.62	289
200	51.52553	-0.131327	1.27	180124	18522100	22	0.62	293
201	51.525545	-0.131337	1.27	180124	18522200	22	0.62	291
