X,Y,index,lat,long,speed,date,time,air_val,dust,gsr
-14774.1001791017,6714704.64401432,"52",51.525077,-0.132718,1.69,"180124","18494000","22",0.62,"274"
-14773.4322621569,6714707.32782604,"53",51.525092,-0.132712,3.95,"180124","18494100","22",0.62,"280"
-14771.762469795,6714710.19055952,"54",51.525108,-0.132697,5.98,"180124","18494200","22",0.62,"279"
-14768.534204562,6714716.27387151,"55",51.525142,-0.132668,10.01,"180124","18494300","22",0.62,"284"
-14767.0870511817,6714721.28366126,"56",51.52517,-0.132655,5.66,"180124","18494400","23",0.62,"284"
-14765.9738562738,6714722.53610918,"57",51.525177,-0.132645,1.06,"180124","18494500","23",0.62,"283"
-14764.6380223843,6714720.92581903,"58",51.525168,-0.132633,1.85,"180124","18494600","22",0.62,"281"
-14763.5248274763,6714719.85229245,"59",51.525162,-0.132623,2.03,"180124","18494700","22",0.62,"282"
-14762.63427155,6714717.16847659,"60",51.525147,-0.132615,2.9,"180124","18494800","22",0.62,"285"
-14759.5173258078,6714710.19055952,"61",51.525108,-0.132587,2.9,"180124","18495000","23",0.62,"284"
-14757.9588529367,6714705.7175389,"62",51.525083,-0.132573,3.72,"180124","18495100","23",0.62,"274"
-14756.7343385379,6714702.13912417,"63",51.525063,-0.132562,3.72,"180124","18495200","22",0.62,"270"
-14755.9551021024,6714699.45531416,"64",51.525048,-0.132555,2.31,"180124","18495300","22",0.62,"270"
-14753.5060733049,6714696.77150503,"65",51.525033,-0.132533,1.85,"180124","18495400","21",0.62,"272"
-14750.7230860351,6714692.1195713,"66",51.525007,-0.132508,1.73,"180124","18495500","22",0.62,"276"
-14750.0551690903,6714689.97252585,"67",51.524995,-0.132502,1.58,"180124","18495600","22",0.62,"368"
-14746.8269038573,6714686.75195875,"68",51.524977,-0.132473,2.66,"180124","18495700","27",0.62,"483"
-14744.4891945507,6714684.60491472,"69",51.524965,-0.132452,3.26,"180124","18495800","34",0.62,"331"
-14739.2571784834,6714684.60491472,"70",51.524965,-0.132405,3.26,"180124","18500000","25",0.62,"300"
-14736.6968301951,6714685.49951633,"71",51.52497,-0.132382,3.26,"180124","18500100","23",0.62,"494"
-14732.3553700542,6714689.43576458,"72",51.524992,-0.132343,3.26,"180124","18500200","38",0.62,"429"
-14727.0120344961,6714691.22496896,"73",51.525002,-0.132295,3.65,"180124","18500300","37",0.62,"437"
-14719.2196701406,6714698.91855226,"74",51.525045,-0.132225,4.18,"180124","18500400","33",0.62,"267"
